	Gene Name	Protein name	Product Description	Evidence Ontology Term	GO Term
PA14_34350	mtlY	Xylulose kinase	xylulose kinase	match to InterPro signature evidence used in automatic assertion	carbohydrate metabolic process; phosphotransferase activity, alcohol group as acceptor; xylulokinase activity; xylulose metabolic process
PA14_34360	mtlD	Mannitol dehydrogenase	mannitol dehydrogenase	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; oxidation-reduction process; metabolic process; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; coenzyme binding; catalytic activity; mannitol metabolic process
PA14_34370	mtlk	Putative ATP-binding component of ABC maltose/mannitol transporter	ABC maltose/mannitol transporter ATP-binding protein	match to InterPro signature evidence used in automatic assertion	ATP binding; ATPase activity; transporter activity; transport; hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances; ATP-binding cassette (ABC) transporter complex
PA14_34390	mtlG	Putative binding-protein-dependent maltose/mannitol transport protein	binding-protein-dependent maltose/mannitol transport protein	match to InterPro signature evidence used in automatic assertion	transport; membrane
PA14_34410	mtlF	Putative binding-protein-dependent maltose/mannitol transport protein	binding-protein-dependent maltose/mannitol transport protein	match to InterPro signature evidence used in automatic assertion	transport; membrane
PA14_34420	mtlE	Putative binding protein component of ABC maltose/mannitol transporter	maltose/mannitol ABC transporter substrate-binding protein	match to InterPro signature evidence used in automatic assertion	transporter activity; transport
PA14_34440	mtlR	Transcriptional regulator MtlR	transcriptional regulator MtlR	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; sequence-specific DNA binding; DNA binding
PA14_34450	PA14_34450	Putative transcriptional regulator, AraC family	AraC family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	DNA binding; sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; sequence-specific DNA binding
PA14_34460	PA14_34460	Alkyl hydroperoxide reductase AhpD (EC 1.11.1.15)	hypothetical protein	match to InterPro signature evidence used in automatic assertion	peroxiredoxin activity; oxidation-reduction process
PA14_34490	PA14_34490	Putative acyl-CoA dehydrogenase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	metabolic process; oxidoreductase activity, acting on the CH-CH group of donors; flavin adenine dinucleotide binding; oxidation-reduction process; acyl-CoA dehydrogenase activity
PA14_34500	PA14_34500	Putative ATP-binding component of ABC transporter	ABC transporter ATP-binding protein	match to InterPro signature evidence used in automatic assertion	ATP binding; ATPase activity
PA14_34510	srpL	Putative sulfonate ABC transporter, periplasmic sulfonate-binding protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	cellular aromatic compound metabolic process; ferrous iron binding; oxidoreductase activity
PA14_34520	srpM	Putative sulfonate ABC transporter, permease protein	ABC transporter permease	match to InterPro signature evidence used in automatic assertion	transport; membrane
PA14_34540	PA14_34540	Putative xenobiotic compound monooxygenase, DszA family	xenobiotic compound DszA family monooxygenase	match to InterPro signature evidence used in automatic assertion	monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; oxidation-reduction process
PA14_34550	PA14_34550	Putative flavin reductase dependent enzyme	hypothetical protein	match to InterPro signature evidence used in automatic assertion	metabolic process; oxidoreductase activity, acting on the CH-CH group of donors; flavin adenine dinucleotide binding; oxidation-reduction process; acyl-CoA dehydrogenase activity
PA14_34580	PA14_34580	Putative flavin reductase dependent enzyme	hypothetical protein	match to InterPro signature evidence used in automatic assertion	acyl-CoA dehydrogenase activity; oxidation-reduction process; metabolic process; oxidoreductase activity, acting on the CH-CH group of donors; flavin adenine dinucleotide binding
PA14_34600	gapB	Putative glyceraldehyde-3-phosphate dehydrogenase	glyceraldehyde-3-phosphate dehydrogenase	match to InterPro signature evidence used in automatic assertion	metabolic process; oxidoreductase activity; oxidation-reduction process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
PA14_34630	gnuT	Gluconate permease	gluconate permease	match to InterPro signature evidence used in automatic assertion	gluconate transmembrane transporter activity; membrane; gluconate transmembrane transport
PA14_34640	gntK	Gluconokinase (EC 2.7.1.12)	gluconokinase	match to InterPro signature evidence used in automatic assertion	carbohydrate metabolic process; kinase activity
PA14_34660	gntR	Transcriptional regulator GntR	transcriptional regulator GntR	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; DNA binding
PA14_34670	PA14_34670				
PA14_34680	PA14_34680	Putative amino acid oxidase	oxidoreductase	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; oxidation-reduction process; metabolic process
PA14_34690	PA14_34690	Putative transcriptional regulator, LysR family	LysR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_34710	PA14_34710	Putative major facilitator family transporter	major facilitator transporter	match to InterPro signature evidence used in automatic assertion	integral component of membrane; transmembrane transport
PA14_34730	PA14_34730	Putative transcriptional regulator, XRE family	XRE family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding; DNA binding
PA14_34750	tauD	Putative taurine catabolism dioxygenase	taurine catabolism dioxygenase	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; oxidation-reduction process
PA14_34780	PA14_34780	Putative ABC transporter ATP-binding component	ABC transporter ATP-binding protein	match to InterPro signature evidence used in automatic assertion	ATP binding; ATPase activity
PA14_34790	PA14_34790	Putative permease of ABC transporter	ABC transporter permease	match to InterPro signature evidence used in automatic assertion	transport; membrane
PA14_34800	PA14_34800	Putative transporter, LysE family	amino acid transporter LysE	match to InterPro signature evidence used in automatic assertion	amino acid transport; membrane
PA14_34810	mxaA	Putative non-ribosomal peptide synthetase	non-ribosomal peptide synthetase	match to InterPro signature evidence used in automatic assertion	catalytic activity; metabolic process
PA14_34820	PA14_34820	Putative regulatory protein	regulatory protein	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; oxidation-reduction process
PA14_34830	PA14_34830	Putative regulatory protein	regulatory protein	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; oxidation-reduction process
PA14_34840	PA14_34840	Putative non-ribosomal peptide synthetase	non-ribosomal peptide synthetase	match to InterPro signature evidence used in automatic assertion	catalytic activity; metabolic process; biosynthetic process; hydrolase activity, acting on ester bonds
PA14_34850	PA14_34850	Putative tRNA synthase	tRNA synthase	match to InterPro signature evidence used in automatic assertion	aminoacyl-tRNA editing activity
PA14_34870	chiC	Chitinase	chitinase	match to InterPro signature evidence used in automatic assertion	protein binding; hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; extracellular region; carbohydrate binding
PA14_34880	PA14_34880	Putative transcriptional regulator, GntR family	GntR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; DNA binding
PA14_34900	PA14_34900	Puccinate dehydrogenase	oxidoreductase	match to InterPro signature evidence used in automatic assertion	oxidation-reduction process; oxidoreductase activity
PA14_34920	PA14_34920	Putative ferredoxin	ferredoxin	match to InterPro signature evidence used in automatic assertion	iron-sulfur cluster binding
PA14_34930	PA14_34930	Putative phycobiliprotein	phycobiliprotein	match to InterPro signature evidence used in automatic assertion	binding; protein binding
PA14_34960	opbA	Porin	glucose-sensitive porin	match to InterPro signature evidence used in automatic assertion	transporter activity; transport; integral component of membrane
PA14_34970	gcd	Glucose dehydrogenase	glucose dehydrogenase	match to InterPro signature evidence used in automatic assertion	integral component of membrane; oxidoreductase activity, acting on CH-OH group of donors; quinone binding; oxidation-reduction process
